event_type,rel_idx,n_windows,mean_TriadState,mean_triad_count_sig,mean_triad_S_sig_sum,mean_FragState,mean_cluster_count,mean_mean_distance
merge,-5,1,0.0,0.0,,1.0,5.0,220434.5943344301
merge,-4,1,0.0,0.0,,1.0,5.0,220751.92433449527
merge,-3,1,0.0,0.0,,1.0,4.0,221156.29208481597
merge,-2,1,0.0,0.0,,1.0,4.0,221360.47397294585
merge,-1,1,0.0,0.0,,1.0,4.0,221864.0469729904
merge,0,1,0.0,0.0,,1.0,4.0,222623.194008953
merge,1,1,0.0,0.0,,0.0,3.0,223971.9970849992
merge,2,1,0.0,0.0,,1.0,4.0,226032.52498952925
merge,3,1,0.0,0.0,,1.0,4.0,228764.7584992606
merge,4,1,0.0,0.0,,1.0,4.0,231932.7640199364
merge,5,1,0.0,0.0,,1.0,4.0,235223.7353513107
split,-5,2,0.0,0.0,,0.5,3.5,208125.16129232122
split,-4,2,0.0,0.0,,0.5,3.0,208834.1191972677
split,-3,2,0.0,0.0,,0.5,3.5,209614.35291616432
split,-2,2,0.0,0.0,,0.5,3.5,210641.65825575998
split,-1,2,0.0,0.0,,0.5,3.5,211970.97280914133
split,0,2,0.0,0.0,,0.0,3.0,213731.358835516
split,1,2,0.0,0.0,,1.0,4.0,215806.18376207328
split,2,2,0.0,0.0,,1.0,4.0,217944.54432519304
split,3,2,0.0,0.0,,1.0,4.0,220061.72189093137
split,4,2,0.0,0.0,,1.0,4.0,222269.3991730197
split,5,2,0.0,0.0,,1.0,4.0,224646.06738310706
