stork,n_triads,mean_Striad,max_Striad,sum_Ncycles
Sara / DER AU017 (eobs 3941),36,0.06641379117947122,0.1087229088303779,9286
Balou / DER AN916 (eobs 3913),36,0.06460812826518793,0.1139963645806284,9027
Conchito / DER AU005 (eobs 3927),36,0.06089415234663212,0.1139963645806284,8593
Konstantina / DER AU001 (eobs 3923),36,0.05753108959247292,0.104156712852365,7011
Betty / DER AU059 (eobs 3342),36,0.056265818230863025,0.1051406054092781,8832
Wibi 1 / DER AU043 (eobs 3942),36,0.05457738602430362,0.1139963645806284,6741
Nils / DER AU058 (eobs 3335),36,0.046838857249679275,0.0818556331721296,7250
Ella / DER AU051 (eobs 3338),36,0.04639916718932706,0.0735347651983982,6461
Zeffro / DER AN914 (eobs 3912),36,0.04246925913182084,0.0769736842105263,2154
Bello / DER AU011 (eobs 3935),36,0.031786397685948056,0.0647181628392484,1083
