t_start,t_end,n_ids_present,mean_distance,cluster_count,triad_count_total,triad_count_sig,triad_S_sum,triad_S_mean,triad_S_sig_sum,TriadState,FragState
0.0,1800.0,8,4979.036465584096,2,0,0,,,,0,0
600.0,2400.0,8,4979.07427789802,2,0,0,,,,0,0
1200.0,3000.0,8,4979.007905679487,2,0,0,,,,0,0
1800.0,3600.0,8,4978.886903898172,2,0,0,,,,0,0
2400.0,4200.0,8,4978.849626303771,2,0,0,,,,0,0
3000.0,4800.0,8,4978.997145308339,2,0,0,,,,0,0
3600.0,5400.0,8,4973.813034344438,2,0,0,,,,0,0
4200.0,6000.0,8,4821.825243509449,2,0,0,,,,0,0
4800.0,6600.0,8,4681.453537027939,2,0,0,,,,0,0
5400.0,7200.0,8,4618.171677328574,2,0,0,,,,0,0
6000.0,7800.0,8,4707.907457494931,2,0,0,,,,0,0
6600.0,8400.0,8,4799.97451273571,2,0,0,,,,0,0
7200.0,9000.0,8,4827.827231115473,2,0,0,,,,0,0
7800.0,9600.0,8,4813.426566785375,2,0,0,,,,0,0
8400.0,10200.0,8,4801.406140539739,2,0,0,,,,0,0
9000.0,10800.0,8,4797.861653996586,2,0,0,,,,0,0
9600.0,11400.0,8,4799.5338989286965,2,0,0,,,,0,0
10200.0,12000.0,8,4801.229940769842,2,0,0,,,,0,0
10800.0,12600.0,8,4871.089154280448,2,0,0,,,,0,0
11400.0,13200.0,8,5002.870804420165,2,0,0,,,,0,0
12000.0,13800.0,8,5156.573739754861,2,0,0,,,,0,0
12600.0,14400.0,8,5215.683687618485,2,0,0,,,,0,0
13200.0,15000.0,8,5227.889123542342,2,0,0,,,,0,0
13800.0,15600.0,8,5238.937654962203,2,0,0,,,,0,0
14400.0,16200.0,8,5254.284065695729,2,0,0,,,,0,0
15000.0,16800.0,8,5239.395141114852,2,0,0,,,,0,0
15600.0,17400.0,8,5217.9342116557,2,0,0,,,,0,0
16200.0,18000.0,8,5189.494698563069,2,0,0,,,,0,0
16800.0,18600.0,8,5183.284005060583,2,0,0,,,,0,0
17400.0,19200.0,8,5171.564011166838,2,0,0,,,,0,0
18000.0,19800.0,8,5151.787046016946,2,0,0,,,,0,0
18600.0,20400.0,8,5141.486820481639,2,0,0,,,,0,0
19200.0,21000.0,8,5135.817723986293,2,0,0,,,,0,0
19800.0,21600.0,8,5128.719604144152,2,0,0,,,,0,0
20400.0,22200.0,8,5177.860782861581,2,0,0,,,,0,0
21000.0,22800.0,8,5244.736058546514,2,0,0,,,,0,0
21600.0,23400.0,8,5266.117005063212,2,0,0,,,,0,0
22200.0,24000.0,8,5296.690155830589,2,0,0,,,,0,0
22800.0,24600.0,8,5320.990593928536,2,0,0,,,,0,0
23400.0,25200.0,8,5314.408350503212,2,0,0,,,,0,0
24000.0,25800.0,8,5301.005880652875,2,0,0,,,,0,0
24600.0,26400.0,8,5293.837114167167,2,0,0,,,,0,0
25200.0,27000.0,8,5291.253800423394,2,0,0,,,,0,0
25800.0,27600.0,8,5287.152686681118,2,0,0,,,,0,0
26400.0,28200.0,8,5276.222909572268,2,0,0,,,,0,0
27000.0,28800.0,8,5262.416207175996,2,0,0,,,,0,0
27600.0,29400.0,8,5254.803526009152,2,0,0,,,,0,0
28200.0,30000.0,8,5254.503941810596,2,0,0,,,,0,0
28800.0,30600.0,8,5302.135598082471,2,0,0,,,,0,0
29400.0,31200.0,8,5366.245751508891,2,0,0,,,,0,0
30000.0,31800.0,8,5430.418536739256,2,0,0,,,,0,0
30600.0,32400.0,8,5450.092693903614,2,0,0,,,,0,0
